# Time Tags Distribution
# 2024-08-09 14:21:21
# Unit Time Diff: s
# Unit Count: 1
# Time Diff ; Count
 2.4720601E-009 ;  8.1000000E+001
 2.4820684E-009 ;  8.9000000E+001
 2.4920767E-009 ;  9.8000000E+001
 2.5020851E-009 ;  9.3000000E+001
 2.5120934E-009 ;  9.6000000E+001
 2.5221018E-009 ;  1.1200000E+002
 2.5321101E-009 ;  8.8000000E+001
 2.5421184E-009 ;  8.2000000E+001
 2.5521268E-009 ;  9.9000000E+001
 2.5621351E-009 ;  8.9000000E+001
 2.5721435E-009 ;  1.1500000E+002
 2.5821518E-009 ;  8.4000000E+001
 2.5921601E-009 ;  8.4000000E+001
 2.6021685E-009 ;  9.0000000E+001
 2.6121768E-009 ;  9.6000000E+001
 2.6221852E-009 ;  7.4000000E+001
 2.6321935E-009 ;  7.3000000E+001
 2.6422018E-009 ;  9.3000000E+001
 2.6522102E-009 ;  8.3000000E+001
 2.6622185E-009 ;  1.0900000E+002
 2.6722269E-009 ;  8.5000000E+001
 2.6822352E-009 ;  7.4000000E+001
 2.6922435E-009 ;  8.2000000E+001
 2.7022519E-009 ;  7.7000000E+001
 2.7122602E-009 ;  7.9000000E+001
 2.7222686E-009 ;  9.9000000E+001
 2.7322769E-009 ;  9.7000000E+001
 2.7422852E-009 ;  7.2000000E+001
 2.7522936E-009 ;  6.2000000E+001
 2.7623019E-009 ;  8.9000000E+001
 2.7723103E-009 ;  8.2000000E+001
 2.7823186E-009 ;  7.5000000E+001
 2.7923269E-009 ;  6.6000000E+001
 2.8023353E-009 ;  8.6000000E+001
 2.8123436E-009 ;  8.7000000E+001
 2.8223520E-009 ;  9.1000000E+001
 2.8323603E-009 ;  8.7000000E+001
 2.8423686E-009 ;  5.9000000E+001
 2.8523770E-009 ;  7.3000000E+001
 2.8623853E-009 ;  9.5000000E+001
 2.8723937E-009 ;  8.4000000E+001
 2.8824020E-009 ;  7.3000000E+001
 2.8924103E-009 ;  7.2000000E+001
 2.9024187E-009 ;  6.0000000E+001
 2.9124270E-009 ;  8.8000000E+001
 2.9224354E-009 ;  6.3000000E+001
 2.9324437E-009 ;  5.8000000E+001
 2.9424520E-009 ;  6.7000000E+001
 2.9524604E-009 ;  5.9000000E+001
 2.9624687E-009 ;  7.4000000E+001
 2.9724771E-009 ;  6.4000000E+001
 2.9824854E-009 ;  7.2000000E+001
 2.9924937E-009 ;  6.8000000E+001
 3.0025021E-009 ;  8.9000000E+001
 3.0125104E-009 ;  6.1000000E+001
 3.0225188E-009 ;  6.6000000E+001
 3.0325271E-009 ;  7.3000000E+001
 3.0425354E-009 ;  5.8000000E+001
 3.0525438E-009 ;  6.7000000E+001
 3.0625521E-009 ;  6.9000000E+001
 3.0725605E-009 ;  4.9000000E+001
 3.0825688E-009 ;  6.9000000E+001
 3.0925771E-009 ;  5.5000000E+001
 3.1025855E-009 ;  7.9000000E+001
 3.1125938E-009 ;  5.9000000E+001
 3.1226022E-009 ;  6.0000000E+001
 3.1326105E-009 ;  5.8000000E+001
 3.1426188E-009 ;  7.4000000E+001
 3.1526272E-009 ;  5.9000000E+001
 3.1626355E-009 ;  7.2000000E+001
 3.1726439E-009 ;  7.0000000E+001
 3.1826522E-009 ;  5.7000000E+001
 3.1926606E-009 ;  6.1000000E+001
 3.2026689E-009 ;  4.6000000E+001
 3.2126772E-009 ;  4.0000000E+001
 3.2226856E-009 ;  8.2000000E+001
 3.2326939E-009 ;  4.8000000E+001
 3.2427023E-009 ;  5.7000000E+001
 3.2527106E-009 ;  6.4000000E+001
 3.2627189E-009 ;  5.9000000E+001
 3.2727273E-009 ;  5.3000000E+001
 3.2827356E-009 ;  7.0000000E+001
 3.2927440E-009 ;  6.6000000E+001
 3.3027523E-009 ;  5.8000000E+001
 3.3127606E-009 ;  4.0000000E+001
 3.3227690E-009 ;  5.5000000E+001
 3.3327773E-009 ;  5.3000000E+001
 3.3427857E-009 ;  5.2000000E+001
 3.3527940E-009 ;  6.4000000E+001
 3.3628023E-009 ;  5.0000000E+001
 3.3728107E-009 ;  4.2000000E+001
 3.3828190E-009 ;  5.0000000E+001
 3.3928274E-009 ;  3.8000000E+001
 3.4028357E-009 ;  5.8000000E+001
 3.4128440E-009 ;  4.6000000E+001
 3.4228524E-009 ;  4.1000000E+001
 3.4328607E-009 ;  4.9000000E+001
 3.4428691E-009 ;  3.0000000E+001
 3.4528774E-009 ;  5.5000000E+001
 3.4628857E-009 ;  4.4000000E+001
 3.4728941E-009 ;  5.7000000E+001
 3.4829024E-009 ;  5.6000000E+001
 3.4929108E-009 ;  4.1000000E+001
 3.5029191E-009 ;  4.2000000E+001
 3.5129274E-009 ;  4.8000000E+001
 3.5229358E-009 ;  4.8000000E+001
 3.5329441E-009 ;  5.2000000E+001
 3.5429525E-009 ;  4.8000000E+001
 3.5529608E-009 ;  4.4000000E+001
 3.5629691E-009 ;  4.5000000E+001
 3.5729775E-009 ;  5.2000000E+001
 3.5829858E-009 ;  5.5000000E+001
 3.5929942E-009 ;  2.7000000E+001
 3.6030025E-009 ;  4.0000000E+001
 3.6130108E-009 ;  4.8000000E+001
 3.6230192E-009 ;  4.5000000E+001
 3.6330275E-009 ;  4.4000000E+001
 3.6430359E-009 ;  5.2000000E+001
 3.6530442E-009 ;  3.8000000E+001
 3.6630525E-009 ;  3.8000000E+001
 3.6730609E-009 ;  5.2000000E+001
 3.6830692E-009 ;  4.2000000E+001
 3.6930776E-009 ;  4.7000000E+001
 3.7030859E-009 ;  2.6000000E+001
 3.7130942E-009 ;  3.3000000E+001
 3.7231026E-009 ;  5.1000000E+001
 3.7331109E-009 ;  4.4000000E+001
 3.7431193E-009 ;  4.6000000E+001
 3.7531276E-009 ;  4.7000000E+001
 3.7631359E-009 ;  4.4000000E+001
 3.7731443E-009 ;  5.1000000E+001
 3.7831526E-009 ;  4.4000000E+001
 3.7931610E-009 ;  5.5000000E+001
 3.8031693E-009 ;  3.8000000E+001
 3.8131776E-009 ;  5.0000000E+001
 3.8231860E-009 ;  4.0000000E+001
 3.8331943E-009 ;  4.5000000E+001
 3.8432027E-009 ;  5.0000000E+001
 3.8532110E-009 ;  3.8000000E+001
 3.8632193E-009 ;  4.7000000E+001
 3.8732277E-009 ;  4.0000000E+001
 3.8832360E-009 ;  4.1000000E+001
 3.8932444E-009 ;  3.3000000E+001
 3.9032527E-009 ;  2.9000000E+001
 3.9132611E-009 ;  4.8000000E+001
 3.9232694E-009 ;  3.3000000E+001
 3.9332777E-009 ;  3.2000000E+001
 3.9432861E-009 ;  5.1000000E+001
 3.9532944E-009 ;  3.7000000E+001
 3.9633028E-009 ;  4.3000000E+001
 3.9733111E-009 ;  3.7000000E+001
 3.9833194E-009 ;  3.7000000E+001
 3.9933278E-009 ;  4.2000000E+001
 4.0033361E-009 ;  4.9000000E+001
 4.0133445E-009 ;  4.3000000E+001
 4.0233528E-009 ;  4.0000000E+001
 4.0333611E-009 ;  4.3000000E+001
 4.0433695E-009 ;  5.3000000E+001
 4.0533778E-009 ;  3.6000000E+001
 4.0633862E-009 ;  5.1000000E+001
 4.0733945E-009 ;  4.3000000E+001
 4.0834028E-009 ;  3.6000000E+001
 4.0934112E-009 ;  3.8000000E+001
 4.1034195E-009 ;  4.2000000E+001
 4.1134279E-009 ;  2.9000000E+001
 4.1234362E-009 ;  3.7000000E+001
 4.1334445E-009 ;  4.6000000E+001
 4.1434529E-009 ;  2.9000000E+001
 4.1534612E-009 ;  4.4000000E+001
 4.1634696E-009 ;  3.7000000E+001
 4.1734779E-009 ;  3.9000000E+001
 4.1834862E-009 ;  4.1000000E+001
 4.1934946E-009 ;  5.2000000E+001
 4.2035029E-009 ;  4.4000000E+001
 4.2135113E-009 ;  2.9000000E+001
 4.2235196E-009 ;  4.1000000E+001
 4.2335279E-009 ;  4.1000000E+001
 4.2435363E-009 ;  4.7000000E+001
 4.2535446E-009 ;  3.4000000E+001
 4.2635530E-009 ;  3.4000000E+001
 4.2735613E-009 ;  2.9000000E+001
 4.2835696E-009 ;  3.4000000E+001
 4.2935780E-009 ;  3.6000000E+001
 4.3035863E-009 ;  3.4000000E+001
 4.3135947E-009 ;  4.7000000E+001
 4.3236030E-009 ;  2.5000000E+001
 4.3336113E-009 ;  4.6000000E+001
 4.3436197E-009 ;  2.6000000E+001
 4.3536280E-009 ;  3.1000000E+001
 4.3636364E-009 ;  2.9000000E+001
 4.3736447E-009 ;  3.7000000E+001
 4.3836530E-009 ;  3.4000000E+001
 4.3936614E-009 ;  3.6000000E+001
 4.4036697E-009 ;  3.4000000E+001
 4.4136781E-009 ;  2.6000000E+001
 4.4236864E-009 ;  3.0000000E+001
 4.4336947E-009 ;  2.7000000E+001
 4.4437031E-009 ;  3.7000000E+001
 4.4537114E-009 ;  2.9000000E+001
